#timestamp x y z q_x q_y q_z q_w
1748443069.473615 -0.003930215672846 0.014615351218271 -0.004741845418772 0.005026681141635 0.005740303200234 0.004258347836979 0.999961823206051
1748443069.523565 0.010233017139499 0.027766393180773 -0.047523528178323 0.002153768484990 0.000335342409176 0.002569482978813 0.999994323275890
1748443069.573603 0.002024649880938 0.028400149665921 -0.039354080345317 0.004642943254538 0.004565678480120 0.002207805339089 0.999976361347376
1748443069.623442 0.003846839616681 0.031562225866268 -0.047883065372427 0.000073052241556 0.001633220570508 0.001361567941833 0.999997736690778
1748443069.673505 -0.001058761000268 0.025307222863231 -0.038195395704463 -0.000890087235497 0.003238137572767 0.004397302098303 0.999984692854861
1748443069.723627 -0.001563314437593 0.026378275484487 -0.045745789211070 -0.003760646786242 0.001518089228657 0.001353661549268 0.999990860228859
1748443069.773720 -0.003475739629110 0.022431280317543 -0.035876118293288 -0.002631311642836 0.004943639918612 0.003184693800881 0.999979246959050
1748443069.823580 -0.003297499726228 0.023188462570976 -0.040548412699895 -0.004014672378363 0.003771039373442 0.000832457886815 0.999984484220433
1748443069.873533 -0.004082332326295 0.020196372775127 -0.038671136319299 -0.003319111129290 0.002140155187772 0.005957028376215 0.999974458198813
1748443069.924088 -0.002537658831248 0.019905239612379 -0.040139612426072 -0.002025304440386 0.000266937491696 0.004885225138105 0.999985980632554
1748443069.973538 -0.002954918450485 0.020086238087039 -0.036838982573389 0.004291990917369 -0.001631174785912 0.006878825214046 0.999965799338387
1748443070.023664 -0.001498017797596 0.020138342126096 -0.037205135011951 0.004135859452934 -0.001653214962880 0.004034502240969 0.999981942006225
1748443070.073659 -0.002995837626168 0.021224112143392 -0.036305841122887 0.002962727896241 0.000635990614504 0.007151925327032 0.999969833406723
1748443070.123575 -0.000212571927543 0.022273374526209 -0.039690444039209 -0.004473696622824 0.004148399903879 0.005418499406985 0.999966707786285
1748443070.173559 -0.001145675251347 0.021398546043203 -0.035885568882238 -0.002559191846787 0.006053707373556 0.008922477190439 0.999938594397134
1748443070.223600 0.000577584962940 0.021127738233082 -0.038906219979544 -0.004818347262970 0.003289253681645 0.006473533116186 0.999962028133502
